id;cursusnaam;tekst;datum
1251;Python TKinter GUI programming;Python Tkinter: maandag 6 en 13 mei 2019 in Apeldoorn;6-5-2019
1252;Python TKinter GUI programming;Python Tkinter: dinsdag 7 en 14 mei 2019 in Amsterdam;7-5-2019
1253;Python TKinter GUI programming;Python Tkinter: maandag  3 en 10 juni 2019 in Rotterdam;3-6-2019
1254;Python TKinter GUI programming;Python Tkinter: dinsdag 4 en 11 juni 2019 in Eindhoven;4-6-2019
1255;Python TKinter GUI programming;Python Tkinter: maandag 1 en 8 juli 2019 in Apeldoorn;1-7-2019
1256;Python TKinter GUI programming;Python Tkinter: dinsdag 5 en 12 augustus 2019 in Rotterdam;5-8-2019
1257;Python TKinter GUI programming;Python Tkinter: maandag 2 en 9 september 2019 in Apeldoorn;2-9-2019
1258;Python TKinter GUI programming;Python Tkinter: dinsdag 3 en 10 september 2019 in Amsterdam;3-9-2019
1259;Python TKinter GUI programming;Python Tkinter: maandag 7 en 14 oktober 2019 in Rotterdam;7-10-2019
1260;Python TKinter GUI programming;Python Tkinter: dinsdag 8 en 15 oktober 2019 in Eindhoven;8-10-2019
1261;Python TKinter GUI programming;Python Tkinter: maandag 4 en 11 november 2019 in Apeldoorn;4-11-2019
1262;Python TKinter GUI programming;Python Tkinter: dinsdag 5 en 12 november 2019 in Amsterdam;5-11-2019
1263;Python TKinter GUI programming;Python Tkinter: maandag 2 en 9 december 2019 in Rotterdam;2-12-2019
1264;Google Maps en Python;Python Google Maps: maandag 7 en 14 januari 2019 in Apeldoorn;7-1-2019
1265;Google Maps en Python;Python Google Maps: maandag 4 en 11 februari 2019 in Rotterdam;4-2-2019
1266;Google Maps en Python;Python Google Maps: maandag 4 en 11 maart 2019 in Apeldoorn;4-3-2019
1267;Google Maps en Python;Python Google Maps: dinsdag 5 en 12 maart 2019 in Amsterdam;5-3-2019
1268;Google Maps en Python;Python Google Maps: maandag 8 en 15 april 2019 in Rotterdam;8-4-2019
1269;Google Maps en Python;Python Google Maps: dinsdag 9 en 16 april 2019 in Eindhoven;9-4-2019
1270;Google Maps en Python;Python Google Maps: maandag 6 en 13 mei 2019 in Apeldoorn;6-5-2019
1271;Google Maps en Python;Python Google Maps: dinsdag 7 en 14 mei 2019 in Amsterdam;7-5-2019
1272;Google Maps en Python;Python Google Maps: maandag  3 en 10 juni 2019 in Rotterdam;3-6-2019
1273;Google Maps en Python;Python Google Maps: dinsdag 4 en 11 juni 2019 in Eindhoven;4-6-2019
1274;Google Maps en Python;Python Google Maps: maandag 1 en 8 juli 2019 in Apeldoorn;1-7-2019
1275;Google Maps en Python;Python Google Maps: dinsdag 5 en 12 augustus 2019 in Rotterdam;5-8-2019
1276;Google Maps en Python;Python Google Maps: maandag 2 en 9 september 2019 in Apeldoorn;2-9-2019
1277;Google Maps en Python;Python Google Maps: dinsdag 3 en 10 september 2019 in Amsterdam;3-9-2019
1278;Google Maps en Python;Python Google Maps: maandag 7 en 14 oktober 2019 in Rotterdam;7-10-2019
1279;Google Maps en Python;Python Google Maps: dinsdag 8 en 15 oktober 2019 in Eindhoven;8-10-2019
1280;Google Maps en Python;Python Google Maps: maandag 4 en 11 november 2019 in Apeldoorn;4-11-2019
1281;Google Maps en Python;Python Google Maps: dinsdag 5 en 12 november 2019 in Amsterdam;5-11-2019
1282;Google Maps en Python;Python Google Maps: maandag 2 en 9 december 2019 in Rotterdam;2-12-2019
1283;Python GeoSpatial;Python GeoSpatial: maandag 7 en 14 januari 2019 in Apeldoorn;7-1-2019
1284;Python GeoSpatial;Python GeoSpatial: maandag  11 en 25 februari 2019 in Rotterdam;11-2-2019
1285;Python GeoSpatial;Python GeoSpatial: maandag 4 en 11maart 2019 in Apeldoorn;4-3-2019
1286;Python GeoSpatial;Python GeoSpatial: dinsdag 5 en 12 maart 2019 in Amsterdam;5-3-2019
1287;Python GeoSpatial;Python GeoSpatial: maandag 8 en 15 april 2019 in Rotterdam;8-4-2019
1288;Python GeoSpatial;Python GeoSpatial: dinsdag 9 en 16 april 2019 in Eindhoven;9-4-2019
1289;Python GeoSpatial;Python GeoSpatial: maandag 6 en 13 mei 2019 in Apeldoorn;6-5-2019
1290;Python GeoSpatial;Python GeoSpatial: dinsdag 7 en 14 mei 2019 in Amsterdam;7-5-2019
1291;Python GeoSpatial;Python GeoSpatial: maandag  3 en 10 juni 2019 in Rotterdam;3-6-2019
1292;Python GeoSpatial;Python GeoSpatial: dinsdag 4 en 11 juni 2019 in Eindhoven;4-6-2019
1293;Python GeoSpatial;Python GeoSpatial: maandag 1 en 8 juli 2019 in Apeldoorn;1-7-2019
1294;Python GeoSpatial;Python GeoSpatial: dinsdag 5 en 12 augustus 2019 in Rotterdam;5-8-2019
1295;Python GeoSpatial;Python GeoSpatial: maandag 2 en 9 september 2019 in Apeldoorn;2-9-2019
1296;Python GeoSpatial;Python GeoSpatial: dinsdag 3 en 10 september 2019 in Amsterdam;3-9-2019
1297;Python GeoSpatial;Python GeoSpatial: maandag 7 en 14 oktober 2019 in Rotterdam;7-10-2019
1298;Python GeoSpatial;Python GeoSpatial: dinsdag 8 en 15 oktober 2019 in Eindhoven;8-10-2019
1299;Python GeoSpatial;Python GeoSpatial: maandag 4 en 11 november 2019 in Apeldoorn;4-11-2019
1300;Python GeoSpatial;Python GeoSpatial: dinsdag 5 en 12 november 2019 in Amsterdam;5-11-2019
1301;Python GeoSpatial;Python GeoSpatial: maandag 2 en 9 december 2019 in Rotterdam;2-12-2019
1302;Python en Datascience;Python DataScience: 7, 8, 9 en 14 januari 2019 in Apeldoorn;7-1-2019
1303;Python en Datascience;Python DataScience: 3, 4, 5 en 10 februari 2019 in Rotterdam;3-2-2019
1304;Python en Datascience;Python DataScience: 3, 4, 5 en 10 maart 2019 in Apeldoorn;3-3-2019
1305;Python en Datascience;Python DataScience: 25, 26, 27 en 28 maart 2019 in Rotterdam;25-3-2019
1306;Python en Datascience;Python DataScience: 7, 8, 9 en 14 april 2019 in Rotterdam;7-4-2019
1307;Python en Datascience;Python DataScience: 8, 9, 10 en 15 april 2019 in Eindhoven;8-4-2019
1308;Python en Datascience;Python DataScience: 23, 24 april en  6, 7 mei 2019 in Apeldoorn;6-5-2019
1309;Python en Datascience;Python DataScience:  6, 7, 8 en 13 mei 2019 in Amsterdam;6-5-2019
1310;Python en Datascience;Python DataScience: 2, 3, 4 en 9 juni 2019 in Rotterdam;2-6-2019
1311;Python en Datascience;Python DataScience: 3, 4, 5 en 10 juni 2019 in Eindhoven;3-6-2019
1312;Python en Datascience;Python DataScience: 22, 23, 24 en 25 juli 2019 in Rotterdam;22-7-2019
1313;Python en Datascience;Python DataScience: 4, 5, 6 en 11 augustus 2019 in Eindhoven;4-8-2019
1314;Python en Datascience;Python DataScience: 2, 3, 4 en 9 september 2019 in Apeldoorn;2-9-2019
1315;Python en Datascience;Python DataScience: 3, 4, 5 en 10 september 2019 in Amsterdam;3-9-2019
1316;Python en Datascience;Python DataScience: 7, 8, 9 en 14 oktober 2019 in Rotterdam;7-10-2019
1317;Python en Datascience;Python DataScience: 8, 9, 10 en 15 oktober 2019 in Eindhoven;8-10-2019
1318;Python en Datascience;Python DataScience: 4, 5, 6 en 11 november 2019 in Apeldoorn;4-11-2019
1319;Python en Datascience;Python DataScience: 5, 6, 7 en 12 november 2019 in Amsterdam;5-11-2019
1320;Python en Datascience;Python DataScience: 2, 3, 4 en 9 december 2019 in Rotterdam;2-12-2019
1321;Python en Blockchains;Python Blockchains: maandag 7 en 14 januari 2019 in Apeldoorn;7-1-2019
1322;Python en Blockchains;Python Blockchains: maandag 4 en 11 februari 2019 in Rotterdam;4-2-2019
1323;Python en Blockchains;Python Blockchains: maandag 4 en 11maart 2019 in Apeldoorn;4-3-2019
1324;Python en Blockchains;Python Blockchains: dinsdag 5 en 12 maart 2019 in Amsterdam;5-3-2019
1325;Python en Blockchains;Python Blockchains: maandag 8 en 15 april 2019 in Rotterdam;8-4-2019
1326;Python en Blockchains;Python Blockchains: dinsdag 9 en 16 april 2019 in Eindhoven;9-4-2019
1327;Python en Blockchains;Python Blockchains: maandag 6 en 13 mei 2019 in Apeldoorn;6-5-2019
1328;Python en Blockchains;Python Blockchains: dinsdag 7 en 14 mei 2019 in Amsterdam;7-5-2019
1329;Python en Blockchains;Python Blockchains: maandag  3 en 10 juni 2019 in Rotterdam;3-6-2019
1330;Python en Blockchains;Python Blockchains: dinsdag 4 en 11 juni 2019 in Eindhoven;4-6-2019
1331;Python en Blockchains;Python Blockchains: maandag 1 en 8 juli 2019 in Apeldoorn;1-7-2019
1332;Python en Blockchains;Python Blockchains: dinsdag 5 en 12 augustus 2019 in Rotterdam;5-8-2019
1333;Python en Blockchains;Python Blockchains: maandag 2 en 9 september 2019 in Apeldoorn;2-9-2019
1334;Python en Blockchains;Python Blockchains: dinsdag 3 en 10 september 2019 in Amsterdam;3-9-2019
1335;Python en Blockchains;Python Blockchains: maandag 7 en 14 oktober 2019 in Rotterdam;7-10-2019
1336;Python en Blockchains;Python Blockchains: dinsdag 8 en 15 oktober 2019 in Eindhoven;8-10-2019
1337;Python en Blockchains;Python Blockchains: maandag 4 en 11 november 2019 in Apeldoorn;4-11-2019
1338;Python en Blockchains;Python Blockchains: dinsdag 5 en 12 november 2019 in Amsterdam;5-11-2019
1339;Python en Blockchains;Python Blockchains: maandag 2 en 9 december 2019 in Rotterdam;2-12-2019
1340;Python en Arduino;Python Arduino: maandag 7 en 14 januari 2019 in Apeldoorn;7-1-2019
1341;Python en Arduino;Python Arduino: maandag 4 en 11 februari 2019 in Rotterdam;4-2-2019
1342;Python en Arduino;Python Arduino: maandag 4 en 11maart 2019 in Apeldoorn;4-3-2019
1343;Python en Arduino;Python Arduino: dinsdag 5 en 12 maart 2019 in Amsterdam;5-3-2019
1344;Python en Arduino;Python Arduino: maandag 8 en 15 april 2019 in Rotterdam;8-4-2019
1345;Python en Arduino;Python Arduino: dinsdag 9 en 16 april 2019 in Eindhoven;9-4-2019
1346;Python en Arduino;Python Arduino: maandag 6 en 13 mei 2019 in Apeldoorn;6-5-2019
1347;Python en Arduino;Python Arduino: dinsdag 7 en 14 mei 2019 in Amsterdam;7-5-2019
1348;Python en Arduino;Python Arduino: maandag  3 en 10 juni 2019 in Rotterdam;3-6-2019
1349;Python en Arduino;Python Arduino: dinsdag 4 en 11 juni 2019 in Eindhoven;4-6-2019
1350;Python en Arduino;Python Arduino: maandag 1 en 8 juli 2019 in Apeldoorn;1-7-2019
1351;Python en Arduino;Python Arduino: dinsdag 5 en 12 augustus 2019 in Rotterdam;5-8-2019
1352;Python en Arduino;Python Arduino: maandag 2 en 9 september 2019 in Apeldoorn;2-9-2019
1353;Python en Arduino;Python Arduino: dinsdag 3 en 10 september 2019 in Amsterdam;3-9-2019
1354;Python en Arduino;Python Arduino: maandag 7 en 14 oktober 2019 in Rotterdam;7-10-2019
1355;Python en Arduino;Python Arduino: dinsdag 8 en 15 oktober 2019 in Eindhoven;8-10-2019
1356;Python en Arduino;Python Arduino: maandag 4 en 11 november 2019 in Apeldoorn;4-11-2019
1357;Python en Arduino;Python Arduino: maandag 2 en 9 december 2019 in Rotterdam;2-12-2019
1358;PostGIS en PostgreSQL;PostGIS en PostgreSQL: maandag 4, 11 en 18 februari 2019 in Rotterdam;4-2-2019
1359;PostGIS en PostgreSQL;PostGIS en PostgreSQL: maandag 4, 11 en 18 maart 2019 in Apeldoorn;4-3-2019
1360;PostGIS en PostgreSQL;PostGIS en PostgreSQL: dinsdag 5, 12 en 19 maart 2019 in Amsterdam;5-3-2019
1361;PostGIS en PostgreSQL;PostGIS en PostgreSQL: maandag 8, 15 en 22 april 2019 in Rotterdam;8-4-2019
1362;PostGIS en PostgreSQL;PostGIS en PostgreSQL: dinsdag 9, 16 en 23 april 2019 in Eindhoven;9-4-2019
1363;PostGIS en PostgreSQL;PostGIS en PostgreSQL: maandag 6, 13 en 20 mei 2019 in Apeldoorn;6-5-2019
1364;PostGIS en PostgreSQL;PostGIS en PostgreSQL: dinsdag 7, 14 en 21 mei 2019 in Amsterdam;7-5-2019
1365;PostGIS en PostgreSQL;PostGIS en PostgreSQL: maandag 3, 10 en 17 juni 2019 in Rotterdam;3-6-2019
1366;PostGIS en PostgreSQL;PostGIS en PostgreSQL: dinsdag 4, 11 en 18 juni 2019 in Eindhoven;4-6-2019
1367;PostGIS en PostgreSQL;PostGIS en PostgreSQL: maandag 1, 8 en 15 juli 2019 in Apeldoorn;1-7-2019
1368;PostGIS en PostgreSQL;PostGIS en PostgreSQL: maandag 5, 12 en 19 augustus 2019 in Rotterdam;5-8-2019
1369;PostGIS en PostgreSQL;PostGIS en PostgreSQL: maandag 2, 9 en 16 september 2019 in Apeldoorn;2-9-2019
1370;PostGIS en PostgreSQL;PostGIS en PostgreSQL: dinsdag 3, 10 en 17 september 2019 in Amsterdam;3-9-2019
1371;PostGIS en PostgreSQL;PostGIS en PostgreSQL: maandag, 7 14 en 21 oktober 2019 in Rotterdam;7-10-2019
1372;PostGIS en PostgreSQL;PostGIS en PostgreSQL: dinsdag 8, 15 en 22 oktober 2019 in Eindhoven;8-10-2019
1373;PostGIS en PostgreSQL;PostGIS en PostgreSQL: maandag 4, 11 en 18 november 2019 in Apeldoorn;4-11-2019
1374;PostGIS en PostgreSQL;PostGIS en PostgreSQL:  dinsdag 5, 12 en 19 november 2019 in Amsterdam;5-11-2019
1375;PostGIS en PostgreSQL;PostGIS en PostgreSQL: maandag 2, 9 en 16 december 2019 in Rotterdam;2-12-2019
1376;ArcGIS Pro 2D Basis;ArcGIS Pro 2D / Basis: maandag 7,14 en 21 januari 2019 in Apeldoorn;7-1-2019
1377;ArcGIS Pro 2D Basis;ArcGIS Pro 2D / Basis: maandag 4, 11 en 18 februari 2019 in Rotterdam;4-2-2019
1378;ArcGIS Pro 2D Basis;ArcGIS Pro 2D / Basis: maandag 4, 11 en 18 maart 2019 in Apeldoorn;4-3-2019
1379;ArcGIS Pro 2D Basis;ArcGIS Pro 2D / Basis: dinsdag 5, 12 en 19 maart 2019 in Amsterdam;5-3-2019
1380;ArcGIS Pro 2D Basis;ArcGIS Pro 2D / Basis: maandag 8, 15 en 22 april 2019 in Rotterdam;8-4-2019
1381;ArcGIS Pro 2D Basis;ArcGIS Pro 2D / Basis: dinsdag 9, 16 en 23 april 2019 in Eindhoven;9-4-2019
1382;ArcGIS Pro 2D Basis;ArcGIS Pro 2D / Basis: maandag 6, 13 en 20 mei 2019 in Apeldoorn;6-5-2019
1383;ArcGIS Pro 2D Basis;ArcGIS Pro 2D / Basis: dinsdag 7, 14 en 21 mei 2019 in Amsterdam;7-5-2019
1384;ArcGIS Pro 2D Basis;ArcGIS Pro 2D / Basis: maandag 3, 10 en 17 juni 2019 in Rotterdam;3-6-2019
1385;ArcGIS Pro 2D Basis;ArcGIS Pro 2D / Basis:dinsdag 4, 11 en 18 juni 2019 in Eindhoven;4-6-2019
1386;ArcGIS Pro 2D Basis;ArcGIS Pro 2D / Basis: maandag 1, 8 en 15 juli 2019 in Apeldoorn;1-7-2019
1387;ArcGIS Pro 2D Basis;ArcGIS Pro 2D / Basis: maandag 5, 12 en 19 augustus 2019 in Rotterdam;5-8-2019
1388;ArcGIS Pro 2D Basis;ArcGIS Pro 2D / Basis: maandag 2, 9 en 16 september 2019 in Apeldoorn;2-9-2019
1389;ArcGIS Pro 2D Basis;ArcGIS Pro 2D / Basis: dinsdag 3, 10 en 17 september 2019 in Amsterdam;3-9-2019
1390;ArcGIS Pro 2D Basis;ArcGIS Pro 2D / Basis: maandag, 7 14 en 21 oktober 2019 in Rotterdam;7-10-2019
1391;ArcGIS Pro 2D Basis;ArcGIS Pro 2D / Basis: dinsdag 8, 15 en 22 oktober 2019 in Eindhoven;8-10-2019
1392;ArcGIS Pro 2D Basis;ArcGIS Pro 2D / Basis: maandag 4, 11 en 18 november 2019 in Apeldoorn;4-11-2019
1393;ArcGIS Pro 2D Basis;ArcGIS Pro 2D / Basis: dinsdag 5, 12 en 19 november 2019 in Amsterdam;5-11-2019
1394;ArcGIS Pro 2D Basis;ArcGIS Pro 2D / Basis: maandag 2, 9 en 16 december 2019 in Rotterdam;2-12-2019
1395;OpenLayers;OpenLayers: dinsdag 8 januari 2019 in Apeldoorn;8-1-2019
1396;OpenLayers;OpenLayers: dinsdag 5 februari 2019 in Rotterdam;5-2-2019
1397;OpenLayers;OpenLayers: maandag 4 maart 2019 in Amsterdam;4-3-2019
1398;OpenLayers;OpenLayers: dinsdag 5 maart 2019 in Apeldoorn;2-4-2019
1399;OpenLayers;OpenLayers: dinsdag 2 april 2019 in Rotterdam;8-4-2019
1400;OpenLayers;OpenLayers: maandag 8 april 2019 in Eindhoven;6-5-2019
1401;OpenLayers;OpenLayers: maandag 6 mei 2019 in Amsterdam;7-5-2019
1402;OpenLayers;OpenLayers: dinsdag 7 mei 2019 in Apeldoorn;3-5-2019
1403;OpenLayers;OpenLayers: maandag 3 juni 2019 in Eindhoven;4-6-2019
1404;OpenLayers;OpenLayers: dinsdag 4 juni 2019 in Rotterdam;2-7-2019
1405;OpenLayers;OpenLayers: dinsdag 2 juli 2019 in Apeldoorn;6-8-2019
1406;OpenLayers;OpenLayers: dinsdag 6 augustus 2019 in Rotterdam;2-9-2019
1407;OpenLayers;OpenLayers: maandag 2 september 2019 in Amsterdam;3-9-2019
1408;OpenLayers;OpenLayers: dinsdag 3 september 2019 in Apeldoorn;1-10-2019
1409;OpenLayers;OpenLayers: dinsdag 1 oktober 2019 in Rotterdam;1-10-2019
1410;OpenLayers;OpenLayers: maandag 7 oktober 2019 in Eindhoven;7-10-2019
1411;OpenLayers;OpenLayers: maandag 4 november 2019 in Amsterdam;4-11-2019
1412;OpenLayers;OpenLayers: dinsdag 5 november 2019 in Apeldoorn;5-11-2019
1413;OpenLayers;OpenLayers: maandag 2 december 2019 in Eindhoven;2-12-2019
1414;OpenLayers;OpenLayers: dinsdag 10 december 2019 in Rotterdam;10-12-2019
1415;GeoWeb Cache;GeoWeb Cache: Op afroep i.o. bij u of op een van onze locaties;31-12-2019
1417;Theodoliet Basis;Theodoliet basis: op afroep i.o. bij u of op een van onze locaties;31-12-2019
1418;TatukGIS Basis;TatukGIS Basis: Op afroep i.o. bij u of op een van onze locaties;31-12-2019
1419;TatukGIS Gevorderd;TatukGIS Gevorderd: Op afroep i.o. bij u of op een van onze locaties;31-12-2019
1420;MongoDB;MongoDB: Op afroep i.o. bij u of op een van onze locaties;31-12-2019
1422;3D-Printen;3D Printen: Op afroep i.o. bij u of op een van onze locaties;31-12-2019
1423;SketchUp Basis;SketchUp Basis: woensdag 16 januari 2019 in Apeldoorn;16-1-2019
1424;SketchUp Basis;SketchUp Basis woensdag 13 februari 2019 in Rotterdam;13-2-2019
1425;SketchUp Basis;SketchUp Basis:`woensdag 13 maart 2019 in Apeldoorn;13-3-2019
1426;SketchUp Basis;SketchUp Basis: dinsdag 12 maart 2019 in Amsterdam;12-3-2019
1427;SketchUp Basis;SketchUp Basis: woensdag 17 april 2019 in Rotterdam;17-4-2019
1428;SketchUp Basis;SketchUp Basis  dinsdag 16 april 2019 in Eindhoven;16-4-2019
1429;SketchUp Basis;SketchUp Basis: woensdag 15 mei 2019 in Apeldoorn;15-5-2019
1430;SketchUp Basis;SketchUp Basis: dinsdag 14 mei 2019 in Amsterdam;14-5-2019
1431;SketchUp Basis;SketchUp Basis: woensdag 12 juni 2019 in Rotterdam;12-6-2019
1432;SketchUp Basis;SketchUp Basis: dinsdag 11 juni 2019 in Eindhoven;11-6-2019
1433;SketchUp Basis;SketchUp Basis: woensdag 10 juli 2019 in Apeldoorn;10-7-2019
1434;SketchUp Basis;SketchUp Basis:  woensdag 11 september 2019 in Apeldoorn;11-9-2019
1435;SketchUp Basis;SketchUp Basis: dinsdag 10 september 2019 in Amsterdam;10-9-2019
1436;SketchUp Basis;SketchUp Basis: woensdag 18 oktober 2019 in Rotterdam;18-10-2019
1437;SketchUp Basis;SketchUp Basis: dinsdag 17 oktober 2019 in Eindhoven;17-10-2019
1438;SketchUp Basis;SketchUp Basis: woensdag 13 november 2019 in Apeldoorn;13-11-2019
1439;SketchUp Basis;SketchUp Basis: dinsdag 12 november 2019 in Amsterdam;12-11-2019
1440;SketchUp Basis;SketchUp Basis: woensdag 11 december 2019 in Rotterdam;11-12-2019
1441;Drones met Python;Drones met Python: Op afroep i.o. bij u of  een van onze locaties;31-12-2019
1442;Total Station Basis;Total Station Basis: op afroep i.o. bij u of op een van onze locaties;31-12-2019
1443;Total Station Gevorderd;TotalStation Gevorderd: i.o. bij u of in een van onze locaties;31-12-2019
1444;INSPIRE introductie;INSPIRE introductie: i.o. bij u of in een van onze locaties;31-12-2019
1446;Workshop Geo-info en Landmeten;Workshop Geo-info Landmeten: i.o. bij u of op een van onze locaties;31-12-2019
1447;SuperMap 3D Basis;SuperMap 3D Basis: maandag 7 en 14 januari 2019 in Apeldoorn;7-1-2019
1448;SuperMap 3D Basis;SuperMap 3D Basis: maandag 4 en 11 februari 2019 in Rotterdam;4-2-2019
1449;SuperMap 3D Basis;SuperMap 3D Basis: maandag 4 en 11maart 2019 in Apeldoorn;4-3-2019
1450;SuperMap 3D Basis;SuperMap 3D Basis: dinsdag 5 en 12 maart 2019 in Amsterdam;5-3-2019
1451;SuperMap 3D Basis;SuperMap 3D Basis: maandag 8 en 15 april 2019 in Rotterdam;8-4-2019
1452;SuperMap 3D Basis;SuperMap 3D Basis: dinsdag 9 en 16 april 2019 in Eindhoven;9-4-2019
1453;SuperMap 3D Basis;SuperMap 3D Basis: maandag 6 en 13 mei 2019 in Apeldoorn;6-5-2019
1454;SuperMap 3D Basis;SuperMap 3D Basis: dinsdag 7 en 14 mei 2019 in Amsterdam;7-5-2019
1455;SuperMap 3D Basis;SuperMap 3D Basis: maandag  3 en 10 juni 2019 in Rotterdam;3-6-2019
1456;SuperMap 3D Basis;SuperMap 3D Basis: dinsdag 4 en 11 juni 2019 in Eindhoven;4-6-2019
1457;SuperMap 3D Basis;SuperMap 3D Basis: maandag 1 en 8 juli 2019 in Apeldoorn;1-7-2019
1458;SuperMap 3D Basis;SuperMap 3D Basis: dinsdag 5 en 12 augustus 2019 in Rotterdam;5-8-2019
1459;SuperMap 3D Basis;SuperMap 3D Basis: maandag 2 en 9 september 2019 in Apeldoorn;2-9-2019
1460;SuperMap 3D Basis;SuperMap 3D Basis: dinsdag 3 en 10 september 2019 in Amsterdam;3-9-2019
1461;SuperMap 3D Basis;SuperMap 3D Basis: maandag 7 en 14 oktober 2019 in Rotterdam;7-10-2019
1462;SuperMap 3D Basis;SuperMap 3D Basis: dinsdag 8 en 15 oktober 2019 in Eindhoven;8-10-2019
1463;SuperMap 3D Basis;SuperMap 3D Basis: maandag 4 en 11 november 2019 in Apeldoorn;4-11-2019
1464;SuperMap 3D Basis;SuperMap 3D Basis: dinsdag 5 en 12 november 2019 in Amsterdam;5-11-2019
1465;SuperMap 3D Basis;SuperMap 3D Basis: maandag 2 en 9 december 2019 in Rotterdam;2-12-2019
1466;Inleiding Hydrografie;Inleiding Hydrografie: i.o. bij u of in een van onze locaties;31-12-2019
1467;Workshop 3D Geo-Informatie;Workshop 3D Geo-Informatie: i.o. bij u of in een van onze locaties;31-12-2019
1468;LisCAD Basis;LisCAD Basis: Op afroep i.o. bij u of op een van onze locaties;31-12-2019
1469;FME ArcGIS;FME / ArcGIS: Op afroep i.o. bij u of op een van onze locaties;31-12-2019
1470;FME Smallworld GIS;FME / Smallworld GIS: Op afroep i.o. bij u of op een van onze locaties;31-12-2019
1471;MicroStation Animaties;MicroStation Animaties: Op afroep i.o. bij u of op een van onze locaties;31-12-2019
1472;MicroStation Rendering;MicroStation Rendering: Op afroep i.o. bij u of op een van onze locaties;31-12-2019
1473;Projectwise Gebruik;Projectwise Gebruik: Op afroep i.o. bij u of op een van onze locaties;31-12-2019
1474;Web Angular;Web Angular: Op afroep i.o. bij u of op een van onze locaties;31-12-2019
1475;Python Gevorderd;Python Gevorderd: Op afroep i.o. bij u of op een van onze ;31-12-2019
1476;PL-SQL Programmeren;PL-SQL Programmeren: Op afroep i.o. bij u of op een van onze locaties;31-12-2019
1477;Web Django;Web-Django: 18,19 en 21 juni 2019 in Apeldoorn;18-6-2019
1478;Web Django;Web-Django: 16, 17 en 19 juli 2019 in Apeldoorn;16-7-2019
1479;Web Django;Web-Django: 27, 28 en 30 augustus 2019 in Apeldoorn;27-8-2019
1480;Web Django;Web-Django: 9, 10 en 11 september 2019 in Amsterdam;9-9-2019
1481;Web Django;Web-Django: 22, 23 en 25 oktober 2019 in Apeldoorn;22-10-2019
1482;Web Django;Web-Django: 17, 18 en 20 december in Apeldoorn;17-12-2019
1483;ArcGIS Online;ArcGIS Online Basis: dinsdag 8, 15 en 22 januari 2019 in Apeldoorn;8-1-2019
1484;ArcGIS Online;ArcGIS Online Basis: dinsdag 5, 12 en 29 februari 2019 in Rotterdam;5-2-2019
1485;ArcGIS Online;ArcGIS Online Basis: maandag 4, 11 en 18 maart 2019 in Amsterdam;4-3-2019
1486;ArcGIS Online;ArcGIS Online Basis: dinsdag 5, 12 en 19 maart 2019 in Apeldoorn;5-3-2019
1487;ArcGIS Online;ArcGIS Online Basis: maandag 8, 15 en 22 april 2019 in Eindhoven;8-4-2019
1488;ArcGIS Online;ArcGIS Online Basis: dinsdag 9, 16 en 23 april 2019 in Rotterdam;9-4-2019
1489;ArcGIS Online;ArcGIS Online Basis: maandag  6, 13 en 20 mei 2019 in Amsterdam;6-5-2019
1490;ArcGIS Online;ArcGIS Online Basis: dinsdag 7, 14 en 21 mei 2019 in Apeldoorn;7-5-2019
1491;ArcGIS Online;ArcGIS Online Basis: maandag 3, 10 en 17 juni 2019 in Eindhoven;3-6-2019
1492;ArcGIS Online;ArcGIS Online Basis: dinsdag 4, 11 en 18 juni 2019 in Rotterdam;4-6-2019
1493;ArcGIS Online;ArcGIS Online Basis: dinsdag 2, 9 en 16 juli 2019 in Apeldoorn;2-7-2019
1494;ArcGIS Online;ArcGIS Online Basis: dinsdag 6, 13 en 20 augustus 2019 in Rotterdam;6-8-2019
1495;ArcGIS Online;ArcGIS Online Basis: maandag 2, 9 en 16 september 2019 in Amsterdam;2-9-2019
1496;ArcGIS Online;ArcGIS Online Basis: dinsdag 3, 10 en 17 september 2019 in Apeldoorn;3-9-2019
1497;ArcGIS Online;ArcGIS Online Basis: maandag 7, 14 en 21 oktober 2019 in Eindhoven;7-10-2019
1498;ArcGIS Online;ArcGIS Online Basis: dinsdag 8, 15 en 22 oktober 2019 in Rotterdam;8-10-2019
1499;ArcGIS Online;ArcGIS Online Basis: maandag 4, 11 en 18 november 2019 in Amsterdam;4-11-2019
1500;ArcGIS Online;ArcGIS Online Basis: dinsdag 5, 12 en 19 november 2019 in Apeldoorn;5-11-2019
1501;ArcGIS Online;ArcGIS Online Basis: maandag 2, 9 en 16 december 2019 in Eindhoven;2-12-2019
1502;ArcGIS Online;ArcGIS Online Basis: dinsdag 3, 10 en 17 december 2019 in Rotterdam;3-12-2019
1503;QGIS Landschappen;"QGIS-Landschappen; Op afroep i.o. bij u of op een van onze locaties";31-12-2019
1504;GeoDatabase Gebruik;GeoDatabase Gebruik: woensdag 9, 16 en 23 oktober 2019 in Rotterdam;9-10-2019
1505;GeoDatabase Gebruik;GeoDatabase Gebruik: woensdag 6, 13 en 20 november 2019 in Apeldoorn;6-11-2019
1506;GeoDatabase Gebruik;GeoDatabase Gebruik: dinsdag 3, 10 en 17 december 2019 in Rotterdam;3-12-2019
1507;GeoDatabase Intro;GeoDatabase Intro: woensdag 9 en 16 oktober 2019 in Rotterdam;9-10-2019
